domain,sld,tld,is_com,length,has_hyphen,has_digit,token_count,cluster_keyword,exact_match,age_years,true_distance,embedding_distance,distance_used,S_k,slope_k,alpha_i,gamma_k,log_price_latent,sale_prob,sold,log_price_obs,price_obs
easy-chat-team.co,easy-chat-team,.co,0,14,1,0,3,chat,0,5.438628674855824,0.3046871037561316,0.2993319431940714,0.2993319431940714,0.75,-1.675,0.21559279790142347,1.6943608812674371,0.5991558312782141,0.17071180988834878,0,,
chatquick.com,chatquick,.com,1,9,0,0,1,chat,0,1.595989324375377,0.4697523050150748,0.2864203850428263,0.2864203850428263,0.75,-1.675,0.395140302452312,1.868374858410845,2.3773997333695465,0.41682515964327643,0,,
chatbot.co,chatbot,.co,0,7,0,0,1,chat,0,3.763382511048327,0.0617605507831139,0.2160793542861938,0.2160793542861938,0.75,-1.675,-0.03988161017920627,1.7359830642718521,1.275184881372445,0.2483614180754259,1,1.3736055580028206,3.9495654413103805
trusted-chat-ai.io,trusted-chat-ai,.io,0,15,1,0,3,chat,0,1.024493071304642,0.5179548586497947,0.1810338099797566,0.1810338099797566,0.75,-1.675,-0.2940547669368848,1.8506286331685846,1.2274852061601362,0.24218078613017294,0,,
directchat.com,directchat,.com,1,10,0,0,1,chat,0,1.4964391271353523,0.5226533376090997,0.216798186302185,0.216798186302185,0.75,-1.675,-0.28856842549193384,1.7991489058705445,1.1417649979199678,0.23133924386220714,0,,
lachat.com,lachat,.com,1,6,0,0,1,chat,0,3.7363781813742794,0.1375778550280939,0.5374592542648315,0.5374592542648315,0.75,-1.675,0.22770747573864536,1.6898890000737643,0.8857998388536814,0.20101861806909235,0,,
chatzone.co,chatzone,.co,0,8,0,0,1,chat,0,5.171071642545817,0.3490280135611461,0.5212501684824626,0.5212501684824626,0.75,-1.675,0.2601389599212048,1.774704183633505,1.1224023203740574,0.2289378561492455,1,1.0888356129619774,2.970812881859298
instantchatapp.com,instantchatapp,.com,1,14,0,0,1,chat,0,3.679662252342028,0.2210834849259117,0.3297990560531616,0.3297990560531616,0.75,-1.675,0.19010399390681823,1.8292290993651015,1.6691841914130405,0.3033129790435213,0,,
chatai.com,chatai,.com,1,6,0,0,1,chat,0,3.0975486188837213,0.1667650735115387,0.4522682229677836,0.4522682229677836,0.75,-1.675,-0.232928397551043,1.8490372304379679,0.9900755773892495,0.2129981538655924,0,,
fastchatservice24.io,fastchatservice24,.io,0,17,0,1,1,chat,0,2.7713589141996384,0.5437079577182631,0.4191787044207255,0.4191787044207255,0.75,-1.675,0.08125646307335191,1.7887209682044465,0.9355076469506033,0.20666529624617205,0,,
instantchatconnect.com,instantchatconnect,.com,1,18,0,0,1,chat,0,1.3673667442545925,0.1325847123530337,0.2953640619913737,0.2953640619913737,0.75,-1.675,0.040840033199254874,1.9225423112480842,2.346766848755891,0.4116222276927577,1,2.52592707912739,12.502480681357818
securechatassist.com,securechatassist,.com,1,16,0,0,1,chat,0,2.1556525280549934,0.2615989958597228,0.2525260051091512,0.2525260051091512,0.75,-1.675,0.07654100885515452,1.8806008616789247,1.9400373276463487,0.3448004796363623,1,1.978299783704763,7.230439218012038
freechatportal.com,freechatportal,.com,1,14,0,0,1,chat,0,2.5183822659509616,0.2739225817476316,0.228387713432312,0.228387713432312,0.75,-1.675,0.30500007228186643,1.77946767068802,2.170679981876948,0.3821283949027625,1,2.169810882141092,8.756627849427957
bestchattoday.net,bestchattoday,.net,0,13,0,0,1,chat,0,6.260583150037054,0.1270877886534036,0.3836228450139364,0.3836228450139364,0.75,-1.675,0.07825844207113879,1.8600097449709556,1.3780776069947869,0.26204904688546105,0,,
truechatworld.co,truechatworld,.co,0,13,0,0,1,chat,0,4.080301871292912,0.446332264598633,0.3015929460525512,0.3015929460525512,0.75,-1.675,0.2376197470751632,1.954703478815055,1.9230576976879437,0.34212031049898434,1,2.0467724093804276,7.742869918505627
chicagochat2.io,chicagochat2,.io,0,12,0,1,1,chat,0,1.1527794124199202,0.4066545146031214,0.2969297766685486,0.2969297766685486,0.75,-1.675,0.02365267432111201,1.9568387680626422,1.1932205831493652,0.2378060560870722,0,,
trustedchatmarket.com,trustedchatmarket,.com,1,17,0,0,1,chat,0,4.032757485843967,0.2587474203993949,0.334898829460144,0.334898829460144,0.75,-1.675,0.10119178954149445,1.7017600095342003,0.9291231479646879,0.2059335185313746,0,,
smartchat.io,smartchat,.io,0,9,0,0,1,chat,0,2.635177736103451,0.2975446940039543,0.1786434650421142,0.1786434650421142,0.75,-1.675,0.22095087904348912,1.725877351107428,1.4816586574575477,0.2763101520312881,0,,
chatsmart.com,chatsmart,.com,1,9,0,0,1,chat,0,2.2118887749342515,0.5275314841352572,0.2470912535985311,0.2470912535985311,0.75,-1.675,-0.5100045369494832,1.9187935029387082,1.4271928256437705,0.2687517288309726,0,,
freechatworld.io,freechatworld,.io,0,13,0,0,1,chat,0,4.7922775246946525,0.0799733349680655,0.241459310054779,0.241459310054779,0.75,-1.675,-0.11188492572505546,1.715337515932989,0.8245625908471556,0.19422203900032584,1,0.836312604696901,2.3078413444191868
freechat.ai,freechat,.ai,0,8,0,0,1,chat,0,6.163222127875023,0.2280359006154908,0.2241357167561849,0.2241357167561849,0.75,-1.675,-0.16463042900247843,1.6941967093366657,1.0077483909691396,0.21507926115726292,0,,
topchatbot.com,topchatbot,.com,1,10,0,0,1,chat,0,5.805281295752034,0.4851164224132067,0.2666217088699341,0.2666217088699341,0.75,-1.675,-0.22360724688516967,1.7611044695440763,1.1528551927614397,0.23272257382355638,1,1.2398221679016344,3.4549990004064584
chatlive.com,chatlive,.com,1,8,0,0,1,chat,0,2.0066556609605333,0.1165053644578532,0.3674353162447611,0.3674353162447611,0.75,-1.675,-0.0962997879293393,1.833618136757967,1.732050458213742,0.3126918190515575,0,,
localchatassist.co,localchatassist,.co,0,15,0,0,1,chat,0,2.757908422456308,0.2507091511820543,0.2371853590011596,0.2371853590011596,0.75,-1.675,0.5232294589320385,1.7918082634711123,1.958619114573501,0.3477448905388624,0,,
elitechatnow.co,elitechatnow,.co,0,12,0,0,1,chat,0,4.050166773214594,0.4953853543270763,0.2639529109001159,0.2639529109001159,0.75,-1.675,-0.3030408904926351,1.7479549103675527,1.0360724068376344,0.2184453317305223,1,1.019981512610305,2.7731434953059093
chatnow2.co,chatnow2,.co,0,8,0,1,1,chat,0,5.961529503592342,0.3757977753288887,0.1296031475067138,0.1296031475067138,0.75,-1.675,0.3388974241070183,1.7460630030620394,1.820547996832382,0.32615741391936626,0,,
chatgroup.io,chatgroup,.io,0,9,0,0,1,chat,0,2.4905297959265624,0.1761357398732276,0.3817881147066752,0.3817881147066752,0.75,-1.675,-0.5890044200655317,1.7430130348469834,0.38579690686035173,0.150594977600449,1,0.2888115125969951,1.334840104270571
chataustin24.com,chataustin24,.com,1,12,0,1,1,chat,0,2.970126706428395,0.1449126813491217,0.7856770356496176,0.7856770356496176,0.75,-1.675,-0.11720976049502119,1.7296392297072847,0.46259451383583844,0.1576014528333995,1,0.5233750716772899,1.6877142044467264
prime-chat.com,prime-chat,.com,1,10,1,0,2,chat,0,1.709496727163954,0.4953840225972262,0.442470113436381,0.442470113436381,0.75,-1.675,0.05696357278675195,1.9825306301820849,1.1031383450835952,0.22656615565804442,0,,
chatcentral.com,chatcentral,.com,1,11,0,0,1,chat,0,1.61975681787199,0.599421624921378,0.4262300332387289,0.4262300332387289,0.75,-1.675,0.20517781597574733,1.8238008856948444,0.9837847247586852,0.21226091213715573,0,,
chatsf.ai,chatsf,.ai,0,6,0,0,1,chat,0,5.406032682516505,0.2629535041943278,0.2735581000645956,0.2735581000645956,0.75,-1.675,0.24892930292749924,1.870940724352379,1.6102844856101302,0.294671835685275,0,,
instantchatsite24.com,instantchatsite24,.com,1,17,0,1,1,chat,0,7.491312509889488,0.5141127108073186,0.3909342487653097,0.3909342487653097,0.75,-1.675,0.2776715323199738,1.7608738025504862,1.573391380530519,0.2893329297016441,0,,
fastchatzone.ai,fastchatzone,.ai,0,12,0,0,1,chat,0,3.179722494334991,0.3350073917271022,0.3932718435923258,0.3932718435923258,0.75,-1.675,-0.12205377528695315,1.785123465825116,1.1742122060109357,0.2354027305271974,0,,
my-chat.com,my-chat,.com,1,7,1,0,2,chat,0,6.0624847375033655,0.1265396008870632,0.178878903388977,0.178878903388977,0.75,-1.675,-0.1618231274325985,1.7429156814903717,1.80885980643217,0.32436180673230847,1,1.7903953371931287,5.991820787821481
prochatteam.com,prochatteam,.com,1,11,0,0,1,chat,0,4.124651845066159,0.0691067802770878,0.4781643549601237,0.4781643549601237,0.75,-1.675,0.3002915584400038,1.5878633332064638,1.7051457582014211,0.30865859729868655,1,1.7687641756929182,5.863602499413856
truechatai.co,truechatai,.co,0,10,0,0,1,chat,0,2.2544998384829444,0.3811034869384418,0.2935661872227987,0.2935661872227987,0.75,-1.675,-0.0669565137085652,1.6897592578521707,0.7554003449200679,0.18675728746795167,0,,
truechatnow.org,truechatnow,.org,0,11,0,0,1,chat,0,4.124056899840508,0.5787487656277215,0.2750434478123983,0.2750434478123983,0.75,-1.675,-0.44649021316827264,1.6551505056015685,0.5353110569510184,0.1644776696900595,1,0.5173325166139527,1.6775468477776994
nycchat360.com,nycchat360,.com,1,10,0,1,1,chat,0,8.354680659891208,0.2676667132651881,0.501897931098938,0.501897931098938,0.75,-1.675,-0.3966505249012182,1.6200172977638714,0.6424357482250073,0.175043668513774,0,,
topchatteam.com,topchatteam,.com,1,11,0,0,1,chat,0,3.2495105224886744,0.3325257537062828,0.3658981124560038,0.3658981124560038,0.75,-1.675,-0.32180830010056394,1.7043712820561518,1.625267471116913,0.2968563682650163,1,1.6151906365131532,5.028846513859266
topchatservice.com,topchatservice,.com,1,14,0,0,1,chat,0,8.489127214837012,0.3071916525934858,0.4016720255215963,0.4016720255215963,0.75,-1.675,0.1740062604188174,1.9059964543505306,1.9984960604749298,0.35410287636022414,1,1.9160548202839214,6.794101574765622
chat-live.com,chat-live,.com,1,9,1,0,2,chat,0,0.6894596787328765,0.37458245685822,0.3538467486699422,0.3538467486699422,0.75,-1.675,0.049849007624697836,1.7964451065836518,1.6331611265224777,0.29801102601978374,0,,
chattoday.com,chattoday,.com,1,9,0,0,1,chat,0,5.436532788551684,0.1661404463567411,0.3088661034901937,0.3088661034901937,0.75,-1.675,0.24166987392371886,1.9032451009856939,2.4992761001399715,0.4376987795467422,0,,
freechatlive.com,freechatlive,.com,1,12,0,0,1,chat,0,3.4981289538609155,0.0,0.2852589885393778,0.2852589885393778,0.75,-1.675,-0.14953842621778698,1.83287860615207,1.203389427728575,0.23909866610639022,0,,
primechat.com,primechat,.com,1,9,0,0,1,chat,0,2.774846942219956,0.0881835056531069,0.4149565100669861,0.4149565100669861,0.75,-1.675,0.05548889187684997,1.8626047060572128,1.6520387063896038,0.30078282281135416,0,,
primechatportal.net,primechatportal,.net,0,15,0,0,1,chat,0,3.508036453260467,0.2600417630455278,0.4768277208010356,0.4768277208010356,0.75,-1.675,0.21895663788856784,1.727928240375634,0.7292657317668951,0.18399468640199787,0,,
chatonline.net,chatonline,.net,0,10,0,0,1,chat,0,1.0074865362637313,0.2533341412670026,0.3926159938176473,0.3926159938176473,0.75,-1.675,-0.10827128890208343,1.8419160763354137,0.8829834455772684,0.20070216578984726,0,,
chat-free.com,chat-free,.com,1,9,1,0,2,chat,0,2.9101274203816083,0.3712940846827114,0.2840750416119894,0.2840750416119894,0.75,-1.675,0.159871333145094,1.8582971387259477,1.6259467337678237,0.29695562686298216,1,1.6185580772207935,5.045809401051495
mychathelp101.net,mychathelp101,.net,0,13,0,1,1,chat,0,4.113472420227559,0.1963514580338965,0.4156526923179626,0.4156526923179626,0.75,-1.675,-0.23167407937332793,1.7538682166213047,0.9903386407350935,0.21302902360203757,0,,
localchatteam.com,localchatteam,.com,1,13,0,0,1,chat,0,8.058572461264033,0.0562887226110727,0.4636411865552267,0.4636411865552267,0.75,-1.675,-0.12706884629777512,1.8447632296492933,1.0771333034945536,0.2233921657185922,0,,
chateasy1.org,chateasy1,.org,0,9,0,1,1,chat,0,2.432787864384051,0.4024255063685618,0.4387406508127848,0.4387406508127848,0.75,-1.675,-0.13360826289941516,1.8452950206859866,0.1473292432447757,0.13046319225029132,0,,
my-chat-solutions.io,my-chat-solutions,.io,0,17,1,0,3,chat,0,2.0439901191697367,0.7002277986606149,0.3009098768234253,0.3009098768234253,0.75,-1.675,-0.4185438759561639,1.7560357903095933,0.6828542650259211,0.17916690176094588,1,0.6001746225090885,1.8224370111298607
top-chat-site.org,top-chat-site,.org,0,13,1,0,3,chat,0,2.4570114995491608,0.5190420114958276,0.4432621598243713,0.4432621598243713,0.75,-1.675,0.17044036827495362,1.7101785254183204,0.7036619402453644,0.18131899344102723,0,,
chatnyc.com,chatnyc,.com,1,7,0,0,1,chat,0,5.750238145850385,0.0,0.432883103688558,0.432883103688558,0.75,-1.675,-0.16429081907095333,1.7052697334481381,1.080434646084429,0.22379334255319241,0,,
chat-nyc.com,chat-nyc,.com,1,8,1,0,2,chat,0,4.044066179135894,0.0816954668756133,0.356974999109904,0.356974999109904,0.75,-1.675,0.0043729415546906,1.806920443353717,1.3141237996243824,0.25348456866903907,0,,
chatsite24.com,chatsite24,.com,1,10,0,1,1,chat,0,2.416073925094937,0.2180438991598769,0.2791829903920492,0.2791829903920492,0.75,-1.675,0.16826133061706813,1.8261607895031453,1.5829182746391055,0.2907060936519316,1,1.524268808136498,4.5917848657951685
chatfree.com,chatfree,.com,1,8,0,0,1,chat,0,4.517507753770322,0.1389993777254752,0.1790928840637207,0.1790928840637207,0.75,-1.675,0.15628591161048042,1.7365979335633668,2.0342738291399094,0.359851595538373,0,,
expertchatzone.com,expertchatzone,.com,1,14,0,0,1,chat,0,3.5192451817378965,0.4918515308760064,0.4057693481445312,0.4057693481445312,0.75,-1.675,0.23288478814047517,1.802126827306088,1.182273900420786,0.2364199541027251,0,,
truechathelp24.com,truechathelp24,.com,1,14,0,1,1,chat,0,5.936899303582163,0.1766081610581525,0.6215808788935344,0.6215808788935344,0.75,-1.675,-0.034469919578298265,1.8456429628910789,0.7573413261881776,0.18696373130838845,0,,
chatinstant.com,chatinstant,.com,1,11,0,0,1,chat,0,2.178786659566995,0.2881598850032877,0.1479466756184896,0.1479466756184896,0.75,-1.675,-0.1481544092154538,1.8494552571732241,1.8427527391446663,0.3295826918094738,1,1.760666179070161,5.816310808591842
primechatpro.com,primechatpro,.com,1,12,0,0,1,chat,0,2.727547113376973,0.0652404755121111,0.39482315381368,0.39482315381368,0.75,-1.675,-0.027901373817239665,1.9241504096097992,1.2972383539755687,0.25125442804516124,0,,
chatsimple2.com,chatsimple2,.com,1,11,0,1,1,chat,0,2.6240924636190384,0.4778162699437329,0.2854605515797933,0.2854605515797933,0.75,-1.675,-0.5905670518853104,1.9021584665758435,0.55146297302109,0.16603734103415896,0,,
chatservice.net,chatservice,.net,0,11,0,0,1,chat,0,1.3797344196519148,0.5249584458420286,0.3218171993891398,0.3218171993891398,0.75,-1.675,-0.5064893653480805,1.7198966853794766,0.7054127812776217,0.18150099385355717,0,,
modernchathelp.co,modernchathelp,.co,0,14,0,0,1,chat,0,3.9656594785552186,0.4904729914722868,0.3001568714777629,0.3001568714777629,0.75,-1.675,-0.4629448643240408,1.9346868967630417,1.1113081099704916,0.2275698564543583,0,,
austinchat.com,austinchat,.com,1,10,0,0,1,chat,0,3.883097513288679,0.4057213995458985,0.42508065700531,0.42508065700531,0.75,-1.675,-0.3490363896605186,1.757521879635543,0.9151395675349983,0.2043374609238911,0,,
directchatpro.net,directchatpro,.net,0,13,0,0,1,chat,0,3.33031892934879,0.3112845749772672,0.2464505036671956,0.2464505036671956,0.75,-1.675,0.1399209793532028,1.8835898249963543,0.9841359892383164,0.2123020285694092,0,,
chatglobal.com,chatglobal,.com,1,10,0,0,1,chat,0,2.884200446558064,0.5162235950927366,0.1469447215398152,0.1469447215398152,0.75,-1.675,-0.3169176693760213,1.8054389300840872,1.6453613297963325,0.2998007040110369,0,,
freechatbot.com,freechatbot,.com,1,11,0,0,1,chat,0,1.420171380423504,0.1822972873375424,0.2491368850072225,0.2491368850072225,0.75,-1.675,-0.13235689391378638,1.7670280497234427,1.0165580794206253,0.2161221674718481,0,,
onlinechatsite24.com,onlinechatsite24,.com,1,16,0,1,1,chat,0,2.579544431336936,0.4833683950046848,0.4290846983591715,0.4290846983591715,0.75,-1.675,0.4547299042251229,1.6553842512180055,1.5677328373376642,0.2885191554960855,1,1.5003342739321661,4.483187432584121
chatapp.com,chatapp,.com,1,7,0,0,1,chat,0,2.70302438871039,0.4558314502130449,0.2959171930948893,0.2959171930948893,0.75,-1.675,-0.12469238987149907,1.7862748391826921,1.1889259505126182,0.23726159110440462,0,,
chatteam.com,chatteam,.com,1,8,0,0,1,chat,0,2.0516280290153666,0.0,0.3910193840662638,0.3910193840662638,0.75,-1.675,0.25813044896348025,1.6752493411755514,1.2233641541693425,0.2416517464499744,1,1.1899970959979864,3.2870716617065336
prochatsite.com,prochatsite,.com,1,11,0,0,1,chat,0,3.0138808673619235,0.4364780165425484,0.3982992966969808,0.3982992966969808,0.75,-1.675,-0.3267661880034569,1.8773839388674218,0.9947409041990948,0.21354610087127723,0,,
elitechatlive.com,elitechatlive,.com,1,13,0,0,1,chat,0,4.23096675441682,0.3852443912371431,0.3551575541496277,0.3551575541496277,0.75,-1.675,-0.0719031452536705,1.92134341257114,1.4252024768662441,0.26847801082064826,1,1.3208638956187846,3.7466566998772453
expertchatsolutions.com,expertchatsolutions,.com,1,19,0,0,1,chat,0,10.295547711107446,0.4644592577763617,0.428008238474528,0.428008238474528,0.75,-1.675,-0.3325077192187034,1.7362471208562649,0.7323957327860287,0.18432387244139092,0,,
chat-prime.io,chat-prime,.io,0,10,1,0,2,chat,0,3.686755074999907,0.2747131393157349,0.2031556765238444,0.2031556765238444,0.75,-1.675,-0.11866157656519685,1.8241576594015418,1.2716835347648083,0.24790416319061426,0,,
modernchatapp.com,modernchatapp,.com,1,13,0,0,1,chat,0,3.874940215521039,0.1175398947151361,0.3013017773628235,0.3013017773628235,0.75,-1.675,0.2941078481100884,1.741968678239362,1.6352968824884733,0.29832388122032755,0,,
global-chat-today.com,global-chat-today,.com,1,17,1,0,3,chat,0,3.175078798748989,0.3617605084562822,0.3681641817092895,0.3681641817092895,0.75,-1.675,-0.604562148117322,1.749721221589057,0.8515464800340091,0.19719520489173312,0,,
chatsite.com,chatsite,.com,1,8,0,0,1,chat,0,1.0499444634524702,0.1494794881757485,0.2836410204569499,0.2836410204569499,0.75,-1.675,0.15204827524105005,1.8619595763092298,1.8381361495823536,0.32886903497048503,0,,
onlinechat2.io,onlinechat2,.io,0,11,0,1,1,chat,0,3.267717322816792,0.328849575514705,0.1818543672561645,0.1818543672561645,0.75,-1.675,0.08320746081629726,1.796916939052527,1.1738008205705721,0.2353509032846695,0,,
prochatapp.com,prochatapp,.com,1,10,0,0,1,chat,0,3.4422940563394424,0.4718219088857038,0.3702854116757711,0.3702854116757711,0.75,-1.675,-0.20795248449387804,1.939171843354481,1.1230001708132182,0.2290117395449893,1,1.0151061183033017,2.759656231875479
