domain,sld,tld,is_com,length,has_hyphen,has_digit,token_count,cluster_keyword,exact_match,age_years,true_distance,embedding_distance
local-chat-connect.com,local-chat-connect,.com,1,18,1,0,3,chat,0,2.315479482700216,0.3616678472139303,0.3432901700337728
chat-bot24.com,chat-bot24,.com,1,10,1,1,2,chat,0,2.7870501709782878,0.3642786112795443,0.21761248509089154
securechatlive.com,securechatlive,.com,1,14,0,0,1,chat,0,2.313996306606437,0.0949073161315789,0.3821903467178345
securechat.net,securechat,.net,0,10,0,0,1,chat,0,10.088204909968264,0.6331045804018164,0.4778412977854411
chat-pro.com,chat-pro,.com,1,8,1,0,2,chat,0,3.293338082539377,0.1256677232984224,0.20491689443588257
simple-chat-central.com,simple-chat-central,.com,1,19,1,0,3,chat,0,1.7601049582239487,0.4105680417716364,0.39282600084940594
easy-chat-team.co,easy-chat-team,.co,0,14,1,0,3,chat,0,5.438628674855824,0.3046871037561316,0.29933194319407147
chatquick.com,chatquick,.com,1,9,0,0,1,chat,0,1.595989324375377,0.4697523050150748,0.28642038504282635
chatbot.co,chatbot,.co,0,7,0,0,1,chat,0,3.763382511048327,0.0617605507831139,0.21607935428619385
trusted-chat-ai.io,trusted-chat-ai,.io,0,15,1,0,3,chat,0,1.024493071304642,0.5179548586497947,0.18103380997975668
directchat.com,directchat,.com,1,10,0,0,1,chat,0,1.4964391271353523,0.5226533376090997,0.21679818630218506
lachat.com,lachat,.com,1,6,0,0,1,chat,0,3.7363781813742794,0.1375778550280939,0.5374592542648315
chatzone.co,chatzone,.co,0,8,0,0,1,chat,0,5.171071642545817,0.3490280135611461,0.5212501684824626
instantchatapp.com,instantchatapp,.com,1,14,0,0,1,chat,0,3.679662252342028,0.2210834849259117,0.3297990560531616
chatai.com,chatai,.com,1,6,0,0,1,chat,0,3.0975486188837213,0.1667650735115387,0.45226822296778363
fastchatservice24.io,fastchatservice24,.io,0,17,0,1,1,chat,0,2.7713589141996384,0.5437079577182631,0.4191787044207255
instantchatconnect.com,instantchatconnect,.com,1,18,0,0,1,chat,0,1.3673667442545925,0.1325847123530337,0.2953640619913737
securechatassist.com,securechatassist,.com,1,16,0,0,1,chat,0,2.1556525280549934,0.2615989958597228,0.25252600510915124
freechatportal.com,freechatportal,.com,1,14,0,0,1,chat,0,2.5183822659509616,0.2739225817476316,0.228387713432312
bestchattoday.net,bestchattoday,.net,0,13,0,0,1,chat,0,6.260583150037054,0.1270877886534036,0.3836228450139364
truechatworld.co,truechatworld,.co,0,13,0,0,1,chat,0,4.080301871292912,0.446332264598633,0.30159294605255127
chicagochat2.io,chicagochat2,.io,0,12,0,1,1,chat,0,1.1527794124199202,0.4066545146031214,0.2969297766685486
trustedchatmarket.com,trustedchatmarket,.com,1,17,0,0,1,chat,0,4.032757485843967,0.2587474203993949,0.33489882946014404
smartchat.io,smartchat,.io,0,9,0,0,1,chat,0,2.635177736103451,0.2975446940039543,0.17864346504211426
chatsmart.com,chatsmart,.com,1,9,0,0,1,chat,0,2.2118887749342515,0.5275314841352572,0.2470912535985311
freechatworld.io,freechatworld,.io,0,13,0,0,1,chat,0,4.7922775246946525,0.0799733349680655,0.24145931005477905
freechat.ai,freechat,.ai,0,8,0,0,1,chat,0,6.163222127875023,0.2280359006154908,0.2241357167561849
topchatbot.com,topchatbot,.com,1,10,0,0,1,chat,0,5.805281295752034,0.4851164224132067,0.2666217088699341
chatlive.com,chatlive,.com,1,8,0,0,1,chat,0,2.0066556609605333,0.1165053644578532,0.36743531624476117
localchatassist.co,localchatassist,.co,0,15,0,0,1,chat,0,2.757908422456308,0.2507091511820543,0.23718535900115967
elitechatnow.co,elitechatnow,.co,0,12,0,0,1,chat,0,4.050166773214594,0.4953853543270763,0.26395291090011597
chatnow2.co,chatnow2,.co,0,8,0,1,1,chat,0,5.961529503592342,0.3757977753288887,0.12960314750671387
chatgroup.io,chatgroup,.io,0,9,0,0,1,chat,0,2.4905297959265624,0.1761357398732276,0.38178811470667523
chataustin24.com,chataustin24,.com,1,12,0,1,1,chat,0,2.970126706428395,0.1449126813491217,0.7856770356496176
prime-chat.com,prime-chat,.com,1,10,1,0,2,chat,0,1.709496727163954,0.4953840225972262,0.44247011343638104
chatcentral.com,chatcentral,.com,1,11,0,0,1,chat,0,1.61975681787199,0.599421624921378,0.4262300332387289
chatsf.ai,chatsf,.ai,0,6,0,0,1,chat,0,5.406032682516505,0.2629535041943278,0.2735581000645956
instantchatsite24.com,instantchatsite24,.com,1,17,0,1,1,chat,0,7.491312509889488,0.5141127108073186,0.3909342487653097
fastchatzone.ai,fastchatzone,.ai,0,12,0,0,1,chat,0,3.179722494334991,0.3350073917271022,0.39327184359232586
my-chat.com,my-chat,.com,1,7,1,0,2,chat,0,6.0624847375033655,0.1265396008870632,0.17887890338897705
prochatteam.com,prochatteam,.com,1,11,0,0,1,chat,0,4.124651845066159,0.0691067802770878,0.4781643549601237
truechatai.co,truechatai,.co,0,10,0,0,1,chat,0,2.2544998384829444,0.3811034869384418,0.2935661872227987
truechatnow.org,truechatnow,.org,0,11,0,0,1,chat,0,4.124056899840508,0.5787487656277215,0.2750434478123983
nycchat360.com,nycchat360,.com,1,10,0,1,1,chat,0,8.354680659891208,0.2676667132651881,0.501897931098938
topchatteam.com,topchatteam,.com,1,11,0,0,1,chat,0,3.2495105224886744,0.3325257537062828,0.36589811245600384
topchatservice.com,topchatservice,.com,1,14,0,0,1,chat,0,8.489127214837012,0.3071916525934858,0.4016720255215963
chat-live.com,chat-live,.com,1,9,1,0,2,chat,0,0.6894596787328765,0.37458245685822,0.35384674866994226
chattoday.com,chattoday,.com,1,9,0,0,1,chat,0,5.436532788551684,0.1661404463567411,0.3088661034901937
freechatlive.com,freechatlive,.com,1,12,0,0,1,chat,0,3.4981289538609155,0.0,0.28525898853937787
primechat.com,primechat,.com,1,9,0,0,1,chat,0,2.774846942219956,0.0881835056531069,0.4149565100669861
primechatportal.net,primechatportal,.net,0,15,0,0,1,chat,0,3.508036453260467,0.2600417630455278,0.4768277208010356
chatonline.net,chatonline,.net,0,10,0,0,1,chat,0,1.0074865362637313,0.2533341412670026,0.39261599381764734
chat-free.com,chat-free,.com,1,9,1,0,2,chat,0,2.9101274203816083,0.3712940846827114,0.2840750416119894
mychathelp101.net,mychathelp101,.net,0,13,0,1,1,chat,0,4.113472420227559,0.1963514580338965,0.41565269231796265
localchatteam.com,localchatteam,.com,1,13,0,0,1,chat,0,8.058572461264033,0.0562887226110727,0.4636411865552267
chateasy1.org,chateasy1,.org,0,9,0,1,1,chat,0,2.432787864384051,0.4024255063685618,0.43874065081278485
my-chat-solutions.io,my-chat-solutions,.io,0,17,1,0,3,chat,0,2.0439901191697367,0.7002277986606149,0.3009098768234253
top-chat-site.org,top-chat-site,.org,0,13,1,0,3,chat,0,2.4570114995491608,0.5190420114958276,0.44326215982437134
chatnyc.com,chatnyc,.com,1,7,0,0,1,chat,0,5.750238145850385,0.0,0.432883103688558
chat-nyc.com,chat-nyc,.com,1,8,1,0,2,chat,0,4.044066179135894,0.0816954668756133,0.356974999109904
chatsite24.com,chatsite24,.com,1,10,0,1,1,chat,0,2.416073925094937,0.2180438991598769,0.2791829903920492
chatfree.com,chatfree,.com,1,8,0,0,1,chat,0,4.517507753770322,0.1389993777254752,0.1790928840637207
expertchatzone.com,expertchatzone,.com,1,14,0,0,1,chat,0,3.5192451817378965,0.4918515308760064,0.40576934814453125
truechathelp24.com,truechathelp24,.com,1,14,0,1,1,chat,0,5.936899303582163,0.1766081610581525,0.6215808788935344
chatinstant.com,chatinstant,.com,1,11,0,0,1,chat,0,2.178786659566995,0.2881598850032877,0.1479466756184896
primechatpro.com,primechatpro,.com,1,12,0,0,1,chat,0,2.727547113376973,0.0652404755121111,0.39482315381368005
chatsimple2.com,chatsimple2,.com,1,11,0,1,1,chat,0,2.6240924636190384,0.4778162699437329,0.28546055157979333
chatservice.net,chatservice,.net,0,11,0,0,1,chat,0,1.3797344196519148,0.5249584458420286,0.32181719938913983
modernchathelp.co,modernchathelp,.co,0,14,0,0,1,chat,0,3.9656594785552186,0.4904729914722868,0.3001568714777629
austinchat.com,austinchat,.com,1,10,0,0,1,chat,0,3.883097513288679,0.4057213995458985,0.42508065700531006
directchatpro.net,directchatpro,.net,0,13,0,0,1,chat,0,3.33031892934879,0.3112845749772672,0.24645050366719565
chatglobal.com,chatglobal,.com,1,10,0,0,1,chat,0,2.884200446558064,0.5162235950927366,0.14694472153981528
freechatbot.com,freechatbot,.com,1,11,0,0,1,chat,0,1.420171380423504,0.1822972873375424,0.2491368850072225
onlinechatsite24.com,onlinechatsite24,.com,1,16,0,1,1,chat,0,2.579544431336936,0.4833683950046848,0.42908469835917157
chatapp.com,chatapp,.com,1,7,0,0,1,chat,0,2.70302438871039,0.4558314502130449,0.29591719309488934
chatteam.com,chatteam,.com,1,8,0,0,1,chat,0,2.0516280290153666,0.0,0.39101938406626385
prochatsite.com,prochatsite,.com,1,11,0,0,1,chat,0,3.0138808673619235,0.4364780165425484,0.39829929669698083
elitechatlive.com,elitechatlive,.com,1,13,0,0,1,chat,0,4.23096675441682,0.3852443912371431,0.3551575541496277
expertchatsolutions.com,expertchatsolutions,.com,1,19,0,0,1,chat,0,10.295547711107446,0.4644592577763617,0.428008238474528
chat-prime.io,chat-prime,.io,0,10,1,0,2,chat,0,3.686755074999907,0.2747131393157349,0.20315567652384442
modernchatapp.com,modernchatapp,.com,1,13,0,0,1,chat,0,3.874940215521039,0.1175398947151361,0.3013017773628235
global-chat-today.com,global-chat-today,.com,1,17,1,0,3,chat,0,3.175078798748989,0.3617605084562822,0.36816418170928955
chatsite.com,chatsite,.com,1,8,0,0,1,chat,0,1.0499444634524702,0.1494794881757485,0.2836410204569499
onlinechat2.io,onlinechat2,.io,0,11,0,1,1,chat,0,3.267717322816792,0.328849575514705,0.18185436725616455
prochatapp.com,prochatapp,.com,1,10,0,0,1,chat,0,3.4422940563394424,0.4718219088857038,0.3702854116757711
fastchat.com,fastchat,.com,1,8,0,0,1,chat,0,14.555155598054824,0.0,0.271303653717041
chatportal.com,chatportal,.com,1,10,0,0,1,chat,0,2.9582072353998057,0.1690278723473814,0.3017095724741618
chat-bot.com,chat-bot,.com,1,8,1,0,2,chat,0,3.97859366121768,0.0,0.13105034828186035
chatpro.com,chatpro,.com,1,7,0,0,1,chat,0,3.2516837469682818,0.4846539715863258,0.1512556274731954
direct-chat-experts.net,direct-chat-experts,.net,0,19,1,0,3,chat,0,1.6467327567892522,0.5610510558496028,0.2830585837364197
chatla360.com,chatla360,.com,1,9,0,1,1,chat,0,6.590924906781671,0.1145610046739582,0.45977532863616943
primechatlive.com,primechatlive,.com,1,13,0,0,1,chat,0,5.213022488023941,0.0638711659427984,0.39832035700480145
chatmodern.com,chatmodern,.com,1,10,0,0,1,chat,0,5.336762353345784,0.2651107375813165,0.5119551221529643
trustedchatlive.com,trustedchatlive,.com,1,15,0,0,1,chat,0,1.9239253019185212,0.0772247503827968,0.26042590538660687
directchathub.com,directchathub,.com,1,13,0,0,1,chat,0,7.703513985886167,0.369142766748085,0.31442334254582727
prochathelp.com,prochathelp,.com,1,11,0,0,1,chat,0,1.431738388601548,0.5694141424438215,0.6093802054723104
modernchatplus.com,modernchatplus,.com,1,14,0,0,1,chat,0,4.72144197576169,0.5782308004712496,0.21166692177454632
easychatportal.com,easychatportal,.com,1,14,0,0,1,chat,0,12.357626161908232,0.0550430918286907,0.3703562418619792
chat-sf.net,chat-sf,.net,0,7,1,0,2,chat,0,1.8324945943948687,0.5685871023672492,0.3694717089335124
expertchatsite.io,expertchatsite,.io,0,14,0,0,1,chat,0,2.363683866149678,0.1160160101403552,0.48267891009648645
chattrusted.com,chattrusted,.com,1,11,0,0,1,chat,0,3.524684113483589,0.1585844429704022,0.6645286083221436
chat-bot2.com,chat-bot2,.com,1,9,1,1,2,chat,0,2.4544792178716057,0.1839213671483917,0.15331387519836426
simplechat24.com,simplechat24,.com,1,12,0,1,1,chat,0,1.30944311183457,0.0295414924511104,0.29704143603642785
chatai1.com,chatai1,.com,1,7,0,1,1,chat,0,3.4595474471149337,0.388384260796629,0.46315689881642663
simplechatconnect.com,simplechatconnect,.com,1,17,0,0,1,chat,0,1.755261365015704,0.5607997405059413,0.29103865226109826
trustedchatworld.com,trustedchatworld,.com,1,16,0,0,1,chat,0,4.4112383647866205,0.5313546658893094,0.37849485874176025
prochat.com,prochat,.com,1,7,0,0,1,chat,0,1.912374109511035,0.1971700455022747,0.3943730394045512
chatassist.com,chatassist,.com,1,10,0,0,1,chat,0,8.4145356341327,0.3601071529770839,0.18810113271077475
chattoday2.com,chattoday2,.com,1,10,0,1,1,chat,0,2.0751802649796405,0.6587154989897471,0.33215800921122235
miamichat.com,miamichat,.com,1,9,0,0,1,chat,0,2.736728120521257,0.1637503435934585,0.47037601470947266
chat-boston.com,chat-boston,.com,1,11,1,0,2,chat,0,5.409249347300461,0.3391092554688104,0.5105232199033102
chatpro24.com,chatpro24,.com,1,9,0,1,1,chat,0,1.5864223873017878,0.2322466802661194,0.17725765705108643
instantchatpro.com,instantchatpro,.com,1,14,0,0,1,chat,0,3.805608732440791,0.5310691465214148,0.22147725025812787
localchat.com,localchat,.com,1,9,0,0,1,chat,0,7.273849473435396,0.3453521333222406,0.4421253005663554
chat-network.com,chat-network,.com,1,12,1,0,2,chat,0,1.2655541117351643,0.4237715739378965,0.3758086760838827
chateasy.com,chateasy,.com,1,8,0,0,1,chat,0,3.7090668242156144,0.2099723388918087,0.4912225405375163
online-chat24.com,online-chat24,.com,1,13,1,1,2,chat,0,3.880366766239457,0.3764163740931004,0.3710782527923584
modern-chat.org,modern-chat,.org,0,11,1,0,2,chat,0,5.307355682922537,0.357839188464802,0.2082068721453349
easychatapp.com,easychatapp,.com,1,11,0,0,1,chat,0,1.580639597188369,0.026701099005861,0.34903903802235925
chatmarket101.com,chatmarket101,.com,1,13,0,1,1,chat,0,1.503395222786014,0.3821316150380875,0.6894188125928243
pro-chat.com,pro-chat,.com,1,8,1,0,2,chat,0,4.541080318532193,0.6172502438691371,0.31046072642008465
quickchatpro.com,quickchatpro,.com,1,12,0,0,1,chat,0,3.9677167525145873,0.1918429295107398,0.19048184156417847
simple-chat-group.com,simple-chat-group,.com,1,17,1,0,3,chat,0,3.8585663794731735,0.4199797928146384,0.37360191345214844
chattop.org,chattop,.org,0,7,0,0,1,chat,0,4.087235913009792,0.2649046861180834,0.41421274344126385
freechatcentral.net,freechatcentral,.net,0,15,0,0,1,chat,0,2.2077748807897546,0.3536008384517739,0.3679052988688151
sfchat.com,sfchat,.com,1,6,0,0,1,chat,0,3.816570399961775,0.3436939810322725,0.3466273347536723
chatelite.org,chatelite,.org,0,9,0,0,1,chat,0,3.958414174118337,0.1888557653824799,0.5642982323964437
chataustin.net,chataustin,.net,0,10,0,0,1,chat,0,2.162768576168416,0.4351028786521605,0.6479513645172119
instantchatteam.com,instantchatteam,.com,1,15,0,0,1,chat,0,10.170228793263869,0.3599912830084142,0.3391691048940023
chatseattle.com,chatseattle,.com,1,11,0,0,1,chat,0,4.411874926672312,0.0755111246166075,0.6700485944747925
chatdirect.com,chatdirect,.com,1,10,0,0,1,chat,0,1.624528957866332,0.1244960667515282,0.16391058762868246
mychat.com,mychat,.com,1,6,0,0,1,chat,0,4.92306923954895,0.0789027417044156,0.15226781368255615
primechatworld.ai,primechatworld,.ai,0,14,0,0,1,chat,0,1.850009913757304,0.2344163088840606,0.30679136514663696
localchatbot.co,localchatbot,.co,0,12,0,0,1,chat,0,5.32413768953835,0.344236336772197,0.3099936246871948
prochatpro.com,prochatpro,.com,1,10,0,0,1,chat,0,6.653595248214168,0.1321923919917811,0.4517129063606262
instantchat.co,instantchat,.co,0,11,0,0,1,chat,0,2.02909647748045,0.2840416966575527,0.23192246754964194
chatboston.com,chatboston,.com,1,10,0,0,1,chat,0,5.918160519455748,0.1198287276207694,0.6352742513020834
globalchatassist.com,globalchatassist,.com,1,16,0,0,1,chat,0,4.253186880459605,0.4055508759051246,0.23307224114735922
chatexpert.net,chatexpert,.net,0,10,0,0,1,chat,0,5.437047072841307,0.065981908027969,0.2920775612195333
quickchatconnect.net,quickchatconnect,.net,0,16,0,0,1,chat,0,10.361280085681717,0.3713800328006967,0.29212335745493573
trustedchatbot.ai,trustedchatbot,.ai,0,14,0,0,1,chat,0,2.8655695619704167,0.4584002320011309,0.17840594053268433
prochatassist.com,prochatassist,.com,1,13,0,0,1,chat,0,2.112259655823767,0.4149149465707337,0.28223007917404175
bestchat.com,bestchat,.com,1,8,0,0,1,chat,0,1.9470031460325532,0.1969156323146259,0.1986651619275411
chatsecure.ai,chatsecure,.ai,0,10,0,0,1,chat,0,2.0350366509368167,0.6956565783068329,0.13123899698257446
chat-instant.com,chat-instant,.com,1,12,1,0,2,chat,0,3.170023415172121,0.1080913887785154,0.08354991674423218
directchatguide.io,directchatguide,.io,0,15,0,0,1,chat,0,4.07426835134347,0.3451671901080712,0.25480290253957116
localchat2.io,localchat2,.io,0,10,0,1,1,chat,0,3.9196974887920906,0.3230237280684123,0.24189233779907227
freechatapp2.com,freechatapp2,.com,1,12,0,1,1,chat,0,5.453785471119553,0.1009406708394824,0.3134015202522278
bostonchat.com,bostonchat,.com,1,10,0,0,1,chat,0,3.3461188940651194,0.3029973357038641,0.5341809988021851
chatsf360.com,chatsf360,.com,1,9,0,1,1,chat,0,7.941645108424167,0.2994948794085336,0.422473947207133
chathelp.com,chathelp,.com,1,8,0,0,1,chat,0,2.832630825254758,0.0,0.43152908484141034
elitechatai24.com,elitechatai24,.com,1,13,0,1,1,chat,0,16.981109154042343,0.4524872215092446,0.6009936332702637
quickchatworld.com,quickchatworld,.com,1,14,0,0,1,chat,0,4.832676276184654,0.0652940627567104,0.20974745353062949
online-chat-site.com,online-chat-site,.com,1,16,1,0,3,chat,0,1.985171813177268,0.5201326989222815,0.35601516564687097
chatlocal.com,chatlocal,.com,1,9,0,0,1,chat,0,1.7462392947769318,0.134725521919899,0.45759757359822595
seattlechat360.com,seattlechat360,.com,1,14,0,1,1,chat,0,4.434804125385265,0.7854397387335561,0.5864371856053671
modernchatcentral.net,modernchatcentral,.net,0,17,0,0,1,chat,0,2.9035157456492184,0.3124581211595381,0.3380610545476278
onlinechatbot.com,onlinechatbot,.com,1,13,0,0,1,chat,0,5.095716559115584,0.2712972500923704,0.22688627243041992
trustedchatsolutions.com,trustedchatsolutions,.com,1,20,0,0,1,chat,0,4.41029938427027,0.4572368853844434,0.4653314749399821
onlinechatassist.com,onlinechatassist,.com,1,16,0,0,1,chat,0,3.178160760943872,0.2132200331025665,0.19252608219782513
chattrue2.com,chattrue2,.com,1,9,0,1,1,chat,0,1.997554673323292,0.3616135034438957,0.11599520842234294
quickchatsite.com,quickchatsite,.com,1,13,0,0,1,chat,0,1.3378872160132262,0.242863955198776,0.4322210947672526
topchat.com,topchat,.com,1,7,0,0,1,chat,0,2.539814454009889,0.0,0.23240129152933758
chat-modern.com,chat-modern,.com,1,11,1,0,2,chat,0,5.550229490782914,0.0836073393547576,0.47165602445602417
expertchatlive360.org,expertchatlive360,.org,0,17,0,1,1,chat,0,3.7752108916492295,0.6322027465204697,0.4780965050061544
globalchatpro.com,globalchatpro,.com,1,13,0,0,1,chat,0,1.5723270709603654,0.3457400997252188,0.288032591342926
chatsolutions.com,chatsolutions,.com,1,13,0,0,1,chat,0,3.6836663814483743,0.2715677532419459,0.3440318504969279
truechatpro.com,truechatpro,.com,1,11,0,0,1,chat,0,4.183676593796099,0.226812597383217,0.2628252903620402
seattlechat.co,seattlechat,.co,0,11,0,0,1,chat,0,1.9536228844188737,0.1801861224875775,0.47130505243937176
simplechatbot.net,simplechatbot,.net,0,13,0,0,1,chat,0,3.640915145204609,0.2909571418654074,0.2601041396458944
instantchatexperts.com,instantchatexperts,.com,1,18,0,0,1,chat,0,3.438121446424649,0.3419790218195669,0.3322918216387431
chatconnect.org,chatconnect,.org,0,11,0,0,1,chat,0,1.6723299292481475,0.7565959407635894,0.3377004464467367
truechatteam.com,truechatteam,.com,1,12,0,0,1,chat,0,4.115138192579324,0.2186774552832903,0.34421821435292566
bestchatconnect.net,bestchatconnect,.net,0,15,0,0,1,chat,0,4.648156622907933,0.3270564250018401,0.31721870104471844
instantchatzone.io,instantchatzone,.io,0,15,0,0,1,chat,0,6.3587431881948,0.4355124416036566,0.24771332740783691
chatmiami.com,chatmiami,.com,1,9,0,0,1,chat,0,6.248123828361916,0.2365863931194831,0.671159029006958
onlinechat.com,onlinechat,.com,1,10,0,0,1,chat,0,1.4526629353103515,0.0945807757043091,0.24103780587514242
chatguide2.com,chatguide2,.com,1,10,0,1,1,chat,0,1.8913766989497836,0.403796637709778,0.4099684953689575
directchat24.com,directchat24,.com,1,12,0,1,1,chat,0,4.5223020184999685,0.2262770413553199,0.3613062699635824
quickchatlive.com,quickchatlive,.com,1,13,0,0,1,chat,0,4.518913417323527,0.4523401608193552,0.2748777468999227
primechatsite.com,primechatsite,.com,1,13,0,0,1,chat,0,4.52233571637103,0.2653258319940472,0.5103728175163269
boston-chat.com,boston-chat,.com,1,11,1,0,2,chat,0,30.0,0.4620285288414991,0.3544563055038452
local-chat-experts.net,local-chat-experts,.net,0,18,1,0,3,chat,0,4.676426764354781,0.5461113273026705,0.27649223804473877
online-chat-help.com,online-chat-help,.com,1,16,1,0,3,chat,0,6.562288403412285,0.2981662955266819,0.37402212619781494
fastchatgroup1.com,fastchatgroup1,.com,1,14,0,1,1,chat,0,5.884966557897983,0.1765112580313164,0.38369009892145794
chatapp24.com,chatapp24,.com,1,9,0,1,1,chat,0,4.907844045549889,0.5848878700063161,0.3186671932538351
prochatlive360.io,prochatlive360,.io,0,14,0,1,1,chat,0,2.74790403837099,0.3455530411102829,0.4997361699740092
globalchatexperts.com,globalchatexperts,.com,1,17,0,0,1,chat,0,5.2350768921057576,0.3773625860895799,0.39945701758066815
smart-chat-experts.com,smart-chat-experts,.com,1,18,1,0,3,chat,0,2.0882050542928807,0.3641703148792514,0.22944192091623944
chatchicago.com,chatchicago,.com,1,11,0,0,1,chat,0,2.880341420643354,0.1706709834799905,0.6133379538853964
nycchat.org,nycchat,.org,0,7,0,0,1,chat,0,2.4812981512304706,0.5185035193357395,0.4668541749318441
globalchatzone.net,globalchatzone,.net,0,14,0,0,1,chat,0,3.487288442406008,0.5981208238059249,0.4522014657656352
globalchatservice.com,globalchatservice,.com,1,17,0,0,1,chat,0,13.313720766084174,0.4204025818232961,0.4149096210797628
globalchatapp.com,globalchatapp,.com,1,13,0,0,1,chat,0,1.0828981122825192,0.2496300041654045,0.4099658131599426
onlinechatnow.com,onlinechatnow,.com,1,13,0,0,1,chat,0,5.011604454489708,0.3880955899429555,0.3488064805666606
chattrue.com,chattrue,.com,1,8,0,0,1,chat,0,1.2615870316002369,0.1383492568439919,0.12305319309234619
fastchatlive.com,fastchatlive,.com,1,12,0,0,1,chat,0,2.501375750029275,0.2456730704308421,0.28038104375203454
expertchatassist.com,expertchatassist,.com,1,16,0,0,1,chat,0,6.381290554565255,0.2030835640923888,0.3327396512031555
quickchatai.com,quickchatai,.com,1,11,0,0,1,chat,0,3.4506686072077306,0.0310129968093979,0.2517414093017578
directchatassist.com,directchatassist,.com,1,16,0,0,1,chat,0,1.7390746009965006,0.3461530100845196,0.1859847704569499
onlinechatpro.com,onlinechatpro,.com,1,13,0,0,1,chat,0,2.1615331778065,0.4072225076164778,0.25629738966623944
easychat.com,easychat,.com,1,8,0,0,1,chat,0,4.991610730500192,0.2152211849618055,0.24278153975804648
expertchat.co,expertchat,.co,0,10,0,0,1,chat,0,2.142085786556212,0.2906110543187739,0.39433370033899945
chattoday1.io,chattoday1,.io,0,10,0,1,1,chat,0,3.7805713679432262,0.4644096922898394,0.31705737113952637
my-chat-help.io,my-chat-help,.io,0,12,1,0,3,chat,0,3.4121517497299205,0.2044121012899605,0.24802039066950482
trustedchat.com,trustedchat,.com,1,11,0,0,1,chat,0,2.2457505621322498,0.0563335763457548,0.30802488327026367
bestchatteam.com,bestchatteam,.com,1,12,0,0,1,chat,0,12.01753043807331,0.2869719111845139,0.33002495765686035
chatplus.com,chatplus,.com,1,8,0,0,1,chat,0,4.85666220752897,0.0846862054809612,0.2038415273030599
